name,url,owner,linkedin_url,search_name,partner
Lovehoney,https://lovehoney.co.uk,Consumer,https://www.linkedin.com/company/lovehoneygroup/,,Simon|Jack|Diyar
Pooky,https://pooky.com,Consumer,https://www.linkedin.com/company/pooky-lighting-limited/,,Jack|Diyar
Spoke,https://spoke-london.com,Consumer,https://www.linkedin.com/company/respoke-ltd---spoke/,Spoke London,Jack
Jellycat,https://jellycat.com,Consumer,https://www.linkedin.com/company/jellycat/,,Simon|Jack|Murs|Diyar
Curam Care,https://curamcare.com,Consumer,https://www.linkedin.com/company/curam-io/,,Jack
Wattbike,https://wattbike.com,Consumer,https://www.linkedin.com/company/wattbike/,,Jack
Mous,https://mous.co,Consumer,https://www.linkedin.com/company/mous/,,Simon|Murs
Hartley Botanic,https://hartley-botanic.com,Consumer,https://www.linkedin.com/company/hartley-botanic/,,Jack
Thortful,https://thortful.com,Consumer,https://www.linkedin.com/company/thortful/,,Jack
Vivobarefoot,https://vivobarefoot.com,Consumer,https://www.linkedin.com/company/vivobarefoot/,,Jack
Moonpig,https://moonpig.com,Consumer,https://www.linkedin.com/company/moonpig-com/,,Marc|Jack|Diyar
Olio,https://olioapp.com,Consumer,https://www.linkedin.com/company/olio-share-more-waste-less/,,Jack
Flight Club,https://flightclubdarts.com,Consumer,https://www.linkedin.com/company/flightclubdarts/,,Simon|Murs
Neptune,https://neptune.com,Consumer,https://www.linkedin.com/company/neptune-europe-ltd/,Neptune kitchens homeware,Jack|Diyar
Freddie's Flowers,https://freddiesflowers.com,Consumer,https://www.linkedin.com/company/freddie's-flowers/,,Jack|Diyar
Joseph & Joseph,https://josephjoseph.com,Consumer,,,Simon|Jack|Diyar
Lusso Stone,https://lussostone.com,Consumer,,,Jack
Virgin Active,https://virginactive.co.uk,Consumer,,,
Virgin Group,https://virgin.com,Consumer,,,
Secret Food Tours,https://secretfoodtours.com,Consumer,https://www.linkedin.com/company/secret-food-tours/,,Marc|Diyar
Oddbox,https://oddbox.co.uk,Consumer,https://www.linkedin.com/company/oddbox/,,Jack
Wiremind,https://wiremind.io,B2B & Tech,https://www.linkedin.com/company/wiremind/,,Simon|Jack|Diyar
Masabi,https://masabi.com,PTT,https://www.linkedin.com/company/masabi/,,Simon|Jack
Optibus,https://optibus.com,PTT,https://www.linkedin.com/company/optibus/,,Simon|Jack
Swiftly,https://goswift.ly,PTT,https://www.linkedin.com/company/swiftlyinc/,Swiftly Inc,Simon|Jack
15below,https://15below.com,PTT,https://www.linkedin.com/company/15below/,,Simon|Jack
Ticketer,https://ticketer.com,PTT,https://www.linkedin.com/company/ticketer-corvia-ltd-/,,Simon|Jack
Turnit,https://turnit.com,B2B & Tech,https://www.linkedin.com/company/turnit-ltd/,,Simon|Jack|Diyar
Trainline,https://thetrainline.com,PTT,https://www.linkedin.com/company/trainline/,,Simon|Jack
IVU,https://ivu.com,PTT,https://www.linkedin.com/company/ivu-traffic-technologies-ag/,IVU Traffic Technologies,Simon|Jack
Sqills,https://sqills.com,PTT,https://www.linkedin.com/company/sqills/,,Simon|Jack
Goal Systems,https://goalsystems.com,PTT,https://www.linkedin.com/company/goal-2/,,Simon|Jack
Amadeus,https://amadeus.com,PTT,https://www.linkedin.com/company/amadeus/,,Simon|Jack
Cubic Transportation,https://cubic.com,PTT,https://www.linkedin.com/company/cubic/,,Simon|Jack
SeatFrog,https://seatfrog.com,PTT,https://www.linkedin.com/company/seatfrog/,,Jack
Whiffle,https://whiffle.nl,B2B & Tech,https://www.linkedin.com/company/whiffle/,,Jack
Demand Logic,https://demandlogic.co.uk,B2B & Tech,https://www.linkedin.com/company/demand-logic-limited/,,Simon|Marc|Jack
Tenzo,https://gotenzo.com,B2B & Tech,https://www.linkedin.com/company/tenzo-inc./,,Simon|Jack|Diyar
First Mile,https://thefirstmile.co.uk,B2B & Tech,https://www.linkedin.com/company/first-mile-ltd/,,Simon|Jack|Diyar
Get Licensed,https://get-licensed.co.uk,Consumer,https://www.linkedin.com/company/get-licensed/,,Simon|Jack
Estate Search,https://estatesearch.co.uk,B2B & Tech,https://www.linkedin.com/company/estatesearch/,,Simon
OpenPlay,https://openplay.net,B2B & Tech,https://www.linkedin.com/company/openplay-ltd/,,Jack
Desucla,https://desucla.com,B2B & Tech,https://www.linkedin.com/company/desucla-limited/,,Jack
Kerbo Charge,https://kerbocharge.com,B2B & Tech,https://www.linkedin.com/company/kerbo-charge/,,Simon|Jack
Recorra,https://recorra.co.uk,B2B & Tech,https://www.linkedin.com/company/recorrauk/,,Simon|Jack
Previsico,https://previsico.com,B2B & Tech,https://www.linkedin.com/company/previsico/,,Jack
Bolt6,https://bolt6.ai,B2B & Tech,https://www.linkedin.com/company/bolt6/,,Jack
Maeving,https://maeving.com,B2B & Tech,https://www.linkedin.com/company/maeving/,,Jack
SenSat,https://sensat.co,B2B & Tech,https://www.linkedin.com/company/sensat/,,Jack
Octopus Electric Vehicles,https://octopusev.com,B2B & Tech,https://www.linkedin.com/company/octopusev/,,Jack
Ares,https://aresmgmt.com,Consumer,https://www.linkedin.com/company/ares-management/,Ares Management,Andreas|Josh|George
Arrow Global,https://arrowglobal.net,FS,https://www.linkedin.com/company/arrow-global-group/,,Andreas|Josh|George
Evolution Money,https://evolutionmoney.co.uk,FS,https://www.linkedin.com/company/evolution-money/,,Andreas|Josh
OSB,https://osb.co.uk,FS,https://www.linkedin.com/company/osb-group/,,Andreas|Josh|George
The Private Office,https://theprivateoffice.com,FS,https://www.linkedin.com/company/tpo-the-private-office/,,Andreas|Josh|George
TradeBridge,https://www.tradebridge.com,FS,,,Andreas|Josh|George
Wescot,https://wescot.co.uk,FS,https://www.linkedin.com/company/wescot-credit-services/,,Andreas|Josh|George
Precede,https://precedecapital.com,FS,https://www.linkedin.com/company/precede-capital-partners/,,Andreas|Josh|George
Orbian,https://orbian.com,FS,https://www.linkedin.com/company/orbian/,,Andreas|Josh|George
Womaniser,https://womanizer.com,Consumer,,,
